latitude,longitude,depth,magnitude,distance,gravity,force,year,month,day,hour,minutes,mb,mwb,mwc,mwr,mww,rare_mt
-6.7306,155.0899,3.5553480614894135,5.1,12.808255190716025,2.2802467547986267,46.837414810020185,2014,12,23,21,19,1,0,0,0,0,0
2.421,90.434,3.4307561839036995,5.1,12.866582991563822,2.28220654266603,46.720759208324594,2012,12,6,2,24,1,0,0,0,0,0
-20.3307,-173.8138,2.302585092994046,5.1,12.821644696440229,2.28114821828271,46.81063579857178,2021,2,3,11,11,1,0,0,0,0,0
-59.403,-17.9994,2.302585092994046,5.9,12.913470303984807,2.280851242646505,46.626984583482624,2023,3,3,4,53,0,0,0,0,1,0
-54.324,159.1913,2.302585092994046,5.1,12.865657871917092,2.28033114761116,46.722609447618055,2017,6,1,20,4,1,0,0,0,0,0
-19.8288,-70.8824,2.7206373166076814,5.6,12.823029687732072,2.280319912280558,46.807865815988094,2014,3,24,11,40,0,0,0,0,1,0
-32.573,-71.594,3.0633909220278057,5.2,12.859862903660776,2.2803454001846446,46.73419938413069,2012,1,9,21,30,1,0,0,0,0,0
-35.4987,-103.9926,2.302585092994046,5.5,12.812075713018718,2.2803632036018158,46.8297737654148,2016,10,13,20,40,0,1,0,0,0,0
-14.2026,166.6391,3.5553480614894135,5.9,12.791303268761478,2.2819241796957894,46.87131865392928,2016,4,6,7,57,0,0,0,0,1,0
56.546,-148.5352,2.302585092994046,5.5,12.856043499804516,2.2825651975368486,46.74183819184321,2018,1,24,0,4,0,0,0,0,1,0
-9.7745,155.1421,2.995232148512309,5.3,12.900469045490551,2.2803373439626364,46.65298710047114,2014,11,17,13,27,0,0,1,0,0,0
53.6854,161.721,2.995732273553991,5.1,12.835472991486048,2.280237706883966,46.78297920848014,2015,3,24,11,9,0,1,0,0,0,0
-28.044,-176.568,2.4595888418037104,5.5,12.887635485970643,2.284089377935907,46.67865421951095,2013,3,22,22,40,0,0,1,0,0,0
1.545,123.899,5.656341400056065,5.1,12.911602839135448,2.284096897713482,46.63071951318134,2011,5,27,5,39,0,0,1,0,0,0
5.126,126.554,4.12552017969055,5.3,12.825949964162344,2.2806537955863737,46.80202526312755,2012,7,5,8,14,1,0,0,0,0,0
-57.0189,-25.2005,3.2276373305367736,5.9,12.83377956517408,2.2842277034584777,46.78636606110408,2021,8,12,19,7,1,0,0,0,0,0
-9.6539,159.8291,3.8088600733138067,5.2,12.914170013042803,2.2844180337669,46.62558516536663,2023,9,13,11,36,0,0,0,0,1,0
4.0231,126.1659,2.8172035149987327,5.1,12.9136428129557,2.280405878570577,46.626639565540835,2020,4,19,13,9,0,0,0,0,1,0
-55.244,-31.4823,2.302585092994046,5.2,12.801088671074092,2.280912211622515,46.851747849304054,2016,9,17,18,0,1,0,0,0,0,0
-36.1265,-99.8985,2.302585092994046,5.5,12.869278525705486,2.2807473630204758,46.715368140041264,2020,1,22,18,33,0,0,0,0,1,0
-46.9451,-10.4156,2.302585092994046,5.3,12.913842393344757,2.2807335444315426,46.626240404762726,2019,10,10,21,26,0,0,0,0,1,0
24.8495,125.4106,3.65687265797885,5.3,12.852966441572658,2.282408082285141,46.74799230830693,2020,5,27,9,19,1,0,0,0,0,0
-62.8205,155.7225,2.4379897300002487,5.2,12.840475154808798,2.2805415065835843,46.77297488183464,2014,4,17,15,11,1,0,0,0,0,0
-22.5528,173.3814,2.302585092994046,5.1,12.83115509517599,2.2821873646203397,46.79161500110026,2020,3,14,20,27,1,0,0,0,0,0
-54.4856,-135.708,2.302585092994046,6.1,12.914829853178622,2.2805538649509782,46.624265485094995,2015,10,11,0,58,0,0,0,0,1,0
14.3529,-60.139,1.7404661748405046,5.2,12.88394627701779,2.2803782982218714,46.68603263741666,2014,9,15,21,9,0,0,0,0,1,0
37.0894,-32.4044,2.302585092994046,5.9,12.809333411045596,2.282281768369877,46.83525836936105,2022,11,28,2,51,0,0,0,0,1,0
42.42,41.075,2.7212954278522306,5.7,12.908516477995214,2.2810573949986357,46.63689223546181,2012,12,23,13,31,0,0,0,0,1,0
