latitude,longitude,depth,magnitude,distance,gravity,force
-26.803,-63.136,576.8,7.0,380543,9.82,2.2580394839686425e-15
-26.851,-63.217,592.9,5.78,380548,9.79,2.2579801478362796e-15
-59.414,-24.469,35.0,5.1,383580,9.79,2.2224249155341226e-15
-4.458,101.428,21.6,5.7,384394,9.8,2.213022383559646e-15
-38.355,-73.326,24.0,7.2,385093,9.79,2.204995757684492e-15
-59.791,149.897,10.0,5.6,388038,9.81,2.171653298382333e-15
-41.164,-90.871,10.0,5.3,388996,9.79,2.1609699903122123e-15
-16.038,-173.1,26.8,5.3,390006,9.79,2.1497919388319114e-15
-52.08,139.505,16.3,5.4,390036,9.78,2.1494612448556386e-15
-44.271,-15.778,10.0,5.1,391876,9.8,2.1293236319874993e-15
-29.039,-69.486,110.0,5.3,392584,9.78,2.1216503608574145e-15
31.545,142.177,21.4,5.6,392882,9.82,2.11843304865253e-15
30.145,51.789,15.5,5.4,393628,9.78,2.1104109896463873e-15
-22.26,171.631,112.2,6.1,393753,9.79,2.109071269056114e-15
-2.654,99.996,12.7,5.3,394273,9.78,2.1035117007412337e-15
11.335,-86.634,48.7,5.1,395490,9.81,2.0905857862042178e-15
-4.115,142.241,113.2,5.3,396337,9.8,2.0816598767996383e-15
-38.77,175.094,240.8,5.1,397225,9.78,2.072363141770702e-15
-19.497,168.327,4.3,5.2,398528,9.79,2.0588339802916518e-15
20.23,-45.74,10.0,5.1,398568,9.78,2.0584207548106823e-15
20.114,-45.617,10.0,5.5,399684,9.79,2.0469417341936897e-15
4.243,90.414,17.0,5.5,399911,9.79,2.0446185978046233e-15
-21.784,-65.337,290.4,5.1,400125,9.82,2.0424321242161026e-15
-35.742,-73.001,10.0,5.4,400687,9.81,2.0367067481797075e-15
-35.842,-73.587,37.9,5.1,401180,9.79,2.0317041086042297e-15
-25.452,-177.954,235.4,5.3,401364,9.78,2.0298417200169794e-15
-19.873,168.141,10.0,5.2,401720,9.8,2.0262456657422567e-15
-53.515,25.19,10.0,5.4,401753,9.79,2.025912807688787e-15
-54.758,-0.969,10.0,5.1,401812,9.8,2.025317902209839e-15
-19.899,-173.752,10.0,5.4,402129,9.78,2.022126027367802e-15
30.18,51.706,38.6,5.1,402244,9.79,2.020969956667616e-15
-0.026,124.913,56.7,5.6,402598,9.79,2.0174174858023532e-15
26.672,143.878,15.6,5.1,403731,9.79,2.006110319613517e-15
