time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-31T23:53:29.030Z,35.7945,-117.6253333,5.92,3.08,ml,56,29,0.031,0.17,ci,ci40031287,2022-08-06T22:13:11.040Z,"20km NNE of Ridgecrest, CA",earthquake,0.12,0.4,0.168,21,reviewed,ci,ci
2022-05-31T22:21:51.320Z,18.7408333333333,-66.4915,5.73,2.98,md,18,220,,0.26,pr,pr71351758,2022-08-09T06:55:06.704Z,"30 km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,0.7,0.84,0.0331526143299468,8,reviewed,pr,pr
2022-05-31T22:12:27.620Z,39.0608333,-109.2958333,6.81,3.76,ml,19,102,0.5584,0.2,uu,uu60500212,2022-08-06T22:13:11.040Z,"37 km ENE of Thompson Springs, Utah",earthquake,0.5,3,0.149,29,reviewed,uu,uu
2022-05-31T22:12:11.800Z,39.0713333,-109.2858333,6.01,2.5,md,13,105,0.5643,0.14,uu,uu60500207,2022-08-06T22:13:11.040Z,"38 km ENE of Thompson Springs, Utah",earthquake,0.7,9.25,0.309,3,reviewed,uu,uu
2022-05-31T20:53:24.820Z,18.9243333333333,-68.3453333333333,10.02,3.43,md,19,169,,0.41,pr,pr71351733,2022-08-06T22:13:11.040Z,"38 km N of Punta Cana, Dominican Republic",earthquake,1.43,31.61,0.0555318851425977,7,reviewed,pr,pr
2022-05-31T20:51:38.268Z,34.4941,69.0207,10,2.7,ml,6,258,0.05,0.88,us,us7000hdyh,2022-08-06T22:13:11.040Z,"12 km SSE of Paghm?n, Afghanistan",earthquake,7.2,2,0.128,8,reviewed,us,us
2022-05-31T20:49:09.658Z,6.8655,-73.1145,154.171,4.1,mb,32,73,0.967,0.98,us,us7000hdxz,2022-08-06T22:13:11.040Z,"14 km N of Jordán, Colombia",earthquake,6.11,6.221,0.185,9,reviewed,us,us
2022-05-31T20:23:01.765Z,-24.4493,179.9194,512.82,4.2,mb,26,100,5.167,0.8,us,us7000hens,2022-08-06T22:13:25.040Z,"south of the Fiji Islands",earthquake,12.2,8.9,0.136,17,reviewed,us,us
2022-05-31T19:17:26.210Z,31.3605,-115.8805,6.6,2.72,ml,6,217,0.0881,0.08,ci,ci40031103,2022-05-31T20:02:33.452Z,"76km ESE of Maneadero, B.C., MX",earthquake,0.71,0.3,0.177,4,reviewed,ci,ci
2022-05-31T19:16:34.432Z,-17.9773,-178.4961,568.33,4,mb,24,114,3.294,0.6,us,us7000henr,2022-08-06T22:13:25.040Z,"231 km E of Levuka, Fiji",earthquake,15.7,9.3,0.134,17,reviewed,us,us
